player_name,age,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,Pos,Tm
Alex Abrines,25,31,2,588,56,157,0.35668789808917195,41,127,0.3228346456692913,15,30,0.5,0.4872611464968153,12,13,0.9230769230769231,5,43,48,20,17,6,14,53,165,SG,OKC
Quincy Acy,28,10,0,123,4,18,0.2222222222222222,2,15,0.13333333333333333,2,3,0.6666666666666666,0.2777777777777778,7,10,0.7,3,22,25,8,1,4,4,24,17,PF,PHO
Jaylen Adams,22,34,1,428,38,110,0.34545454545454546,25,74,0.33783783783783783,13,36,0.3611111111111111,0.4590909090909091,7,9,0.7777777777777778,11,49,60,65,14,5,28,45,108,PG,ATL
Steven Adams,25,80,80,2669,481,809,0.5945611866501854,0,2,0,481,807,0.5960346964064436,0.5945611866501854,146,292,0.5,391,369,760,124,117,76,135,204,1108,C,OKC
Bam Adebayo,21,82,28,1913,280,486,0.5761316872427984,3,15,0.2,277,471,0.5881104033970276,0.5792181069958847,166,226,0.7345132743362832,165,432,597,184,71,65,121,203,729,C,MIA
Deng Adel,21,19,3,194,11,36,0.3055555555555556,6,23,0.2608695652173913,5,13,0.38461538461538464,0.3888888888888889,4,4,1,3,16,19,5,1,4,6,13,32,SF,CLE
DeVaughn Akoon-Purcell,25,7,0,22,3,10,0.3,0,4,0,3,6,0.5,0.3,1,2,0.5,1,3,4,6,2,0,2,4,7,SG,DEN
LaMarcus Aldridge,33,81,81,2687,684,1319,0.5185746777862017,10,42,0.23809523809523808,674,1277,0.5277995301487862,0.5223654283548143,349,412,0.8470873786407767,251,493,744,194,43,107,144,179,1727,C,SAS
Rawle Alkins,21,10,1,120,13,39,0.3333333333333333,3,12,0.25,10,27,0.37037037037037035,0.3717948717948718,8,12,0.6666666666666666,11,15,26,13,1,0,8,7,37,SG,CHI
Grayson Allen,23,38,2,416,67,178,0.37640449438202245,32,99,0.32323232323232326,35,79,0.4430379746835443,0.46629213483146065,45,60,0.75,3,20,23,25,6,6,33,47,211,SG,UTA
Jarrett Allen,20,80,80,2096,335,568,0.5897887323943662,6,45,0.13333333333333333,329,523,0.6290630975143403,0.5950704225352113,197,278,0.7086330935251799,191,481,672,110,43,120,103,184,873,C,BRK
Kadeem Allen,26,19,1,416,65,141,0.46099290780141844,17,36,0.4722222222222222,48,105,0.45714285714285713,0.5212765957446809,42,54,0.7777777777777778,8,43,51,76,16,4,26,46,189,SG,NYK
Al-Farouq Aminu,28,81,81,2292,257,593,0.433389544688027,96,280,0.34285714285714286,161,313,0.5143769968051118,0.5143338954468802,150,173,0.8670520231213873,112,498,610,104,68,33,72,143,760,PF,POR
Justin Anderson,25,48,4,463,64,157,0.40764331210191085,24,77,0.3116883116883117,40,80,0.5,0.4840764331210191,26,35,0.7428571428571429,24,60,84,23,22,13,23,48,178,SF,ATL
Kyle Anderson,25,43,40,1281,150,276,0.5434782608695652,9,34,0.2647058823529412,141,242,0.5826446280991735,0.5597826086956522,37,64,0.578125,48,203,251,128,54,37,58,112,346,SF,MEM
Ryan Anderson,30,50,16,644,42,138,0.30434782608695654,18,80,0.225,24,58,0.41379310344827586,0.3695652173913043,24,32,0.75,36,72,108,38,8,2,28,50,126,PF,TOT
Ike Anigbogu,20,3,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,1,2,3,1,0,1,1,0,0,C,IND
Giannis Antetokounmpo,24,72,72,2358,721,1247,0.5781876503608661,52,203,0.2561576354679803,669,1044,0.6408045977011494,0.599037690457097,500,686,0.7288629737609329,159,739,898,424,92,110,268,232,1994,PF,MIL
Kostas Antetokounmpo,21,2,0,11,0,3,0,0,0,0,0,3,0,0,2,4,0.5,0,1,1,0,2,0,1,0,2,PF,DAL
Carmelo Anthony,34,10,2,294,49,121,0.4049586776859504,21,64,0.328125,28,57,0.49122807017543857,0.49173553719008267,15,22,0.6818181818181818,9,45,54,5,4,7,8,32,134,PF,HOU
OG Anunoby,21,67,6,1352,183,404,0.452970297029703,67,202,0.3316831683168317,116,202,0.5742574257425742,0.5358910891089109,36,62,0.5806451612903226,58,139,197,47,46,22,55,140,469,SF,TOR
Ryan Arcidiacono,24,81,32,1961,187,418,0.4473684210526316,81,217,0.37327188940092165,106,201,0.527363184079602,0.5442583732057417,89,102,0.8725490196078431,27,192,219,269,65,4,63,171,544,PG,CHI
Trevor Ariza,33,138,138,4698,588,1472,0.39945652173913043,290,868,0.33410138248847926,298,604,0.49337748344370863,0.49796195652173914,260,328,0.7926829268292683,100,642,742,504,182,42,212,260,1726,SF,TOT
DJ Augustin,31,81,81,2269,318,677,0.46971935007385524,131,311,0.4212218649517685,187,366,0.5109289617486339,0.5664697193500738,181,209,0.8660287081339713,41,162,203,426,52,4,128,115,948,PG,ORL
Deandre Ayton,20,71,70,2183,509,870,0.5850574712643678,0,4,0,509,866,0.5877598152424942,0.5850574712643678,141,189,0.746031746031746,223,506,729,125,61,67,126,209,1159,C,PHO
Dwayne Bacon,23,43,13,759,122,257,0.47470817120622566,38,87,0.4367816091954023,84,170,0.49411764705882355,0.5486381322957199,34,46,0.7391304347826086,8,81,89,47,12,5,18,72,316,SG,CHO
Marvin Bagley,19,62,4,1567,356,706,0.5042492917847026,30,96,0.3125,326,610,0.5344262295081967,0.5254957507082153,181,262,0.6908396946564885,162,309,471,62,33,59,98,120,923,PF,SAC
Ron Baker,25,30,0,304,8,40,0.2,2,26,0.07692307692307693,6,14,0.42857142857142855,0.225,10,12,0.8333333333333334,2,20,22,30,12,2,10,36,28,SG,TOT
Wade Baldwin,22,16,0,94,10,33,0.30303030303030304,2,9,0.2222222222222222,8,24,0.3333333333333333,0.3333333333333333,8,11,0.7272727272727273,2,13,15,12,1,2,14,11,30,PG,POR
Lonzo Ball,21,47,45,1423,185,456,0.4057017543859649,75,228,0.32894736842105265,110,228,0.4824561403508772,0.48793859649122806,20,48,0.4166666666666667,54,197,251,255,69,19,103,114,465,PG,LAL
Mo Bamba,20,47,1,766,117,243,0.48148148148148145,21,70,0.3,96,173,0.5549132947976878,0.5246913580246914,37,63,0.5873015873015873,64,169,233,39,13,64,43,102,292,C,ORL
JJ Barea,34,38,0,752,161,385,0.41818181818181815,38,128,0.296875,123,257,0.4785992217898833,0.4675324675324675,55,78,0.7051282051282052,13,82,95,211,22,1,72,50,415,PG,DAL
Harrison Barnes,26,154,154,5066,862,2054,0.4196689386562804,348,882,0.3945578231292517,514,1172,0.43856655290102387,0.5043816942551119,458,556,0.8237410071942446,114,608,722,230,100,26,196,244,2530,PF,TOT
Will Barton,28,43,38,1189,185,460,0.40217391304347827,67,196,0.34183673469387754,118,264,0.44696969696969696,0.475,57,74,0.7702702702702703,32,167,199,124,18,22,65,82,494,SG,DEN
Keita Bates-Diop,23,30,3,503,60,142,0.4225352112676056,13,52,0.25,47,90,0.5222222222222223,0.46830985915492956,18,28,0.6428571428571429,16,67,83,17,18,14,14,29,151,SF,MIN
Nicolas Batum,30,75,72,2354,253,562,0.4501779359430605,116,298,0.38926174496644295,137,264,0.5189393939393939,0.5533807829181495,77,89,0.8651685393258427,71,319,390,247,71,43,117,140,699,SF,CHO
Jerryd Bayless,30,34,6,657,82,230,0.3565217391304348,29,98,0.29591836734693877,53,132,0.4015151515151515,0.41956521739130437,16,28,0.5714285714285714,11,51,62,119,18,2,32,56,209,PG,MIN
Aron Baynes,32,51,18,821,105,223,0.47085201793721976,21,61,0.3442622950819672,84,162,0.5185185185185185,0.5179372197309418,53,62,0.8548387096774194,88,152,240,57,12,34,40,125,284,C,BOS
Kent Bazemore,29,67,35,1643,278,691,0.402315484804631,96,300,0.32,182,391,0.46547314578005117,0.4717800289435601,127,175,0.7257142857142858,37,224,261,152,89,42,121,170,779,SG,ATL
Bradley Beal,25,82,82,3028,764,1609,0.4748290863890615,209,596,0.35067114093959734,555,1013,0.5478775913129319,0.5397762585456806,362,448,0.8080357142857143,89,322,411,448,121,58,224,226,2099,SG,WAS
Malik Beasley,22,81,18,1879,349,737,0.4735413839891452,163,405,0.4024691358024691,186,332,0.5602409638554217,0.5841248303934871,56,66,0.8484848484848485,35,165,200,97,55,10,55,116,917,SG,DEN
Michael Beasley,30,26,2,277,75,153,0.49019607843137253,3,17,0.17647058823529413,72,136,0.5294117647058824,0.5,28,39,0.717948717948718,13,47,60,25,9,10,27,42,181,PF,LAL
Marco Belinelli,32,79,1,1815,285,690,0.41304347826086957,147,395,0.3721518987341772,138,295,0.46779661016949153,0.5195652173913043,112,124,0.9032258064516129,16,182,198,132,35,8,72,121,829,SG,SAS
Jordan Bell,24,68,3,788,99,192,0.515625,0,2,0,99,190,0.5210526315789473,0.515625,25,41,0.6097560975609756,55,129,184,76,20,51,42,80,223,C,GSW
DeAndre' Bembry,24,82,15,1931,275,616,0.44642857142857145,50,173,0.28901734104046245,225,443,0.5079006772009029,0.487012987012987,87,136,0.6397058823529411,54,304,358,202,105,41,142,190,687,SG,ATL
Dragan Bender,21,46,27,826,88,197,0.4467005076142132,22,101,0.21782178217821782,66,96,0.6875,0.5025380710659898,32,54,0.5925925925925926,34,149,183,56,18,22,37,90,230,PF,PHO
Dairis Bertans,29,12,0,167,12,47,0.2553191489361702,10,34,0.29411764705882354,2,13,0.15384615384615385,0.3617021276595745,0,0,0,2,7,9,10,1,0,2,7,34,SG,NOP
Davis Bertans,26,76,12,1632,204,453,0.4503311258278146,145,338,0.4289940828402367,59,115,0.5130434782608696,0.6103752759381899,53,60,0.8833333333333333,23,241,264,100,35,33,43,133,606,PF,SAS
Patrick Beverley,30,78,49,2137,194,477,0.40670859538784065,112,282,0.3971631205673759,82,195,0.4205128205128205,0.5241090146750524,96,123,0.7804878048780488,76,312,388,300,67,43,85,265,596,PG,LAC
Khem Birch,26,50,1,643,91,151,0.6026490066225165,0,1,0,91,150,0.6066666666666667,0.6026490066225165,58,83,0.6987951807228916,79,111,190,38,18,29,20,72,240,C,ORL
Bismack Biyombo,26,54,32,783,89,156,0.5705128205128205,0,0,0,89,156,0.5705128205128205,0.5705128205128205,58,91,0.6373626373626373,81,166,247,33,11,41,34,103,236,C,CHO
Nemanja Bjelica,30,77,70,1788,284,593,0.47892074198988194,103,257,0.40077821011673154,181,336,0.5386904761904762,0.5657672849915683,70,92,0.7608695652173914,125,319,444,147,54,56,82,197,741,PF,SAC
Antonio Blakeney,22,57,3,829,166,396,0.41919191919191917,36,91,0.3956043956043956,130,305,0.4262295081967213,0.46464646464646464,50,76,0.6578947368421053,7,99,106,42,12,9,35,41,418,SG,CHI
Eric Bledsoe,29,78,78,2272,470,971,0.4840370751802266,124,377,0.32891246684350134,346,594,0.5824915824915825,0.5478887744593203,177,236,0.75,82,280,362,430,116,29,165,156,1241,PG,MIL
Jaron Blossomgame,25,27,4,439,47,106,0.44339622641509435,10,39,0.2564102564102564,37,67,0.5522388059701493,0.49056603773584906,10,13,0.7692307692307693,26,72,98,13,7,8,11,20,114,SF,CLE
Bogdan Bogdanovic,26,70,17,1947,361,863,0.4183082271147161,134,372,0.3602150537634409,227,491,0.4623217922606925,0.4959443800695249,134,162,0.8271604938271605,40,203,243,267,72,15,117,142,990,SG,SAC
Bojan Bogdanovic,29,81,81,2573,522,1051,0.4966698382492864,164,386,0.42487046632124353,358,665,0.5383458646616541,0.5746907706945766,246,305,0.8065573770491803,33,300,333,161,69,1,134,138,1454,SF,IND
Andrew Bogut,34,11,5,134,18,36,0.5,0,0,0,18,36,0.5,0.5,3,3,1,12,43,55,11,3,8,8,22,39,C,GSW
Jonah Bolden,23,44,10,639,80,162,0.49382716049382713,34,96,0.3541666666666667,46,66,0.696969696969697,0.5987654320987654,13,27,0.48148148148148145,47,118,165,40,17,39,36,99,207,PF,PHI
Isaac Bonga,19,22,0,120,5,33,0.15151515151515152,0,8,0,5,25,0.2,0.15151515151515152,9,15,0.6,9,16,25,15,9,4,6,9,19,PG,LAL
Devin Booker,22,64,64,2242,586,1255,0.46693227091633466,135,414,0.32608695652173914,451,841,0.5362663495838288,0.5207171314741036,393,454,0.8656387665198237,39,226,265,433,56,13,264,200,1700,SG,PHO
Chris Boucher,26,28,0,163,34,76,0.4473684210526316,12,37,0.32432432432432434,22,39,0.5641025641025641,0.5263157894736842,13,15,0.8666666666666667,16,40,56,2,6,24,7,31,93,PF,TOR
Avery Bradley,28,126,126,3810,496,1216,0.40789473684210525,172,490,0.3510204081632653,324,726,0.4462809917355372,0.4786184210526316,86,100,0.86,86,264,350,304,82,32,178,334,1250,SG,TOT
Tony Bradley,21,3,0,36,8,16,0.5,0,0,0,8,16,0.5,0.5,1,2,0.5,9,6,15,1,2,2,3,6,17,C,UTA
Corey Brewer,32,62,6,984,106,246,0.43089430894308944,28,88,0.3181818181818182,78,158,0.4936708860759494,0.4878048780487805,62,86,0.7209302325581395,52,100,152,78,64,14,38,126,302,SF,TOT
Mikal Bridges,22,82,56,2417,242,563,0.42984014209591476,105,313,0.3354632587859425,137,250,0.548,0.5230905861456483,95,118,0.8050847457627118,56,208,264,173,129,38,70,201,684,SF,PHO
Miles Bridges,20,80,25,1696,237,511,0.4637964774951076,65,200,0.325,172,311,0.5530546623794212,0.5273972602739726,58,77,0.7532467532467533,67,256,323,95,55,49,50,111,597,SF,CHO
Isaiah Briscoe,22,39,0,559,55,138,0.39855072463768115,11,34,0.3235294117647059,44,104,0.4230769230769231,0.4384057971014493,15,26,0.5769230769230769,5,69,74,87,11,2,31,66,136,PG,ORL
Ryan Broekhoff,28,42,0,453,57,126,0.4523809523809524,38,93,0.40860215053763443,19,33,0.5757575757575758,0.6031746031746031,15,19,0.7894736842105263,8,55,63,22,6,4,16,35,167,SG,DAL
Malcolm Brogdon,26,64,64,1832,378,748,0.5053475935828877,104,244,0.4262295081967213,274,504,0.5436507936507936,0.5748663101604278,141,152,0.9276315789473685,65,223,288,205,46,13,91,102,1001,SG,MIL
